GAUSSIAN 10 8 3
[8, 5, 5, 7, 7, 7, 4, 5, 10, 6]
0 1 PUMP 27333
0 2 PUMP 494
0 3 PUMP 415
0 4 PUMP 371
0 5 PUMP 343
0 6 PUMP 285
0 7 PUMP 304
0 8 POP 286
1 1 PUMP 683
1 2 PUMP 336
1 3 PUMP 227
1 4 PUMP 218
1 5 POP 217
2 1 PUMP 717
2 2 PUMP 2231
2 3 PUMP 902
2 4 PUMP 390
2 5 POP 370
3 1 PUMP 808
3 2 PUMP 179
3 3 PUMP 6243
3 4 PUMP 1253
3 4 PASS 2535
4 1 PUMP 1196
4 2 PUMP 347
4 3 PUMP 312
4 4 PUMP 707
4 5 PUMP 1221
4 5 PASS 1054
5 1 PUMP 642
5 2 PUMP 282
5 3 PUMP 241
5 4 PUMP 252
5 5 PUMP 320
5 5 PASS 658
6 1 PUMP 484
6 2 PUMP 245
6 3 PUMP 212
6 4 POP 213
7 1 PUMP 1204
7 2 PUMP 261
7 3 PUMP 487
7 4 PUMP 537
7 4 PASS 1681
8 1 PUMP 563
8 2 PUMP 306
8 3 PUMP 450
8 4 PUMP 521
8 5 PUMP 16414
8 5 PASS 519
9 1 PUMP 682
9 2 PUMP 248
9 3 PUMP 304
9 4 PUMP 357
9 5 PUMP 799
9 5 PASS 698
TOTAL SCORE 28
