GAUSSIAN 10 6 1
[5, 8, 6, 6, 5, 7, 7, 7, 5, 6]
0 1 PUMP 5036
0 2 PUMP 346
0 3 PUMP 339
0 4 PUMP 359
0 5 POP 309
1 1 PUMP 1800
1 2 PUMP 310
1 3 PUMP 334
1 4 PUMP 293
1 4 PASS 495
2 1 PUMP 505
2 2 PUMP 267
2 3 PUMP 277
2 4 PUMP 338
2 4 PASS 761
3 1 PUMP 375
3 2 PUMP 339
3 3 PUMP 276
3 4 PUMP 331
3 5 PUMP 375
3 6 POP 2428
4 1 PUMP 987
4 2 PUMP 334
4 3 PUMP 287
4 4 PUMP 316
4 5 POP 1048
5 1 PUMP 780
5 2 PUMP 273
5 3 PUMP 267
5 4 PUMP 309
5 4 PASS 459
6 1 PUMP 453
6 2 PUMP 237
6 3 PUMP 299
6 4 PUMP 331
6 4 PASS 420
7 1 PUMP 438
7 2 PUMP 281
7 3 PUMP 249
7 4 PUMP 356
7 4 PASS 424
8 1 PUMP 394
8 2 PUMP 245
8 3 PUMP 252
8 4 PUMP 290
8 4 PASS 605
9 1 PUMP 311
9 2 PUMP 283
9 3 PUMP 281
9 4 PUMP 333
9 4 PASS 430
TOTAL SCORE 28
