GAUSSIAN 10 9 3
[9, 4, 6, 3, 9, 10, 10, 7, 6, 10]
0 1 PUMP 41672
0 2 PUMP 4450
0 3 PUMP 1260
0 4 PUMP 552
0 5 PUMP 443
0 6 PUMP 1043
0 7 PUMP 633
0 8 PUMP 1009
0 8 PASS 3121
1 1 PUMP 2263
1 2 PUMP 258
1 3 PUMP 265
1 4 POP 285
2 1 PUMP 1193
2 2 PUMP 368
2 3 PUMP 567
2 4 PUMP 508
2 5 PUMP 425
2 5 PASS 841
3 1 PUMP 532
3 2 PUMP 358
3 3 POP 294
4 1 PUMP 943
4 2 PUMP 338
4 3 PUMP 332
4 4 PUMP 393
4 5 PUMP 370
4 6 PUMP 974
4 6 PASS 1035
5 1 PUMP 677
5 2 PUMP 327
5 3 PUMP 310
5 4 PUMP 355
5 5 PUMP 580
5 6 PUMP 687
5 7 PUMP 797
5 7 PASS 816
6 1 PUMP 509
6 2 PUMP 318
6 3 PUMP 312
6 4 PUMP 425
6 5 PUMP 391
6 6 PUMP 374
6 7 PUMP 399
6 8 PUMP 860
6 9 PUMP 566
6 10 POP 836
7 1 PUMP 972
7 2 PUMP 309
7 3 PUMP 373
7 4 PUMP 404
7 5 PUMP 429
7 6 PUMP 9279
7 6 PASS 3891
8 1 PUMP 552
8 2 PUMP 404
8 3 PUMP 399
8 4 PUMP 422
8 5 PUMP 491
8 6 POP 522
9 1 PUMP 786
9 2 PUMP 390
9 3 PUMP 424
9 4 PUMP 433
9 5 PUMP 440
9 5 PASS 338
TOTAL SCORE 37
