GAUSSIAN 10 7 1
[9, 8, 8, 8, 7, 7, 9, 8, 10, 8]
0 1 PUMP 6044
0 2 PUMP 270
0 3 PUMP 262
0 4 PUMP 334
0 5 PUMP 361
0 6 PUMP 753
0 7 PUMP 480
0 8 PUMP 938
0 9 POP 488
1 1 PUMP 1112
1 2 PUMP 214
1 3 PUMP 208
1 4 PUMP 219
1 5 PUMP 372
1 6 PUMP 383
1 7 PUMP 977
1 7 PASS 789
2 1 PUMP 442
2 2 PUMP 197
2 3 PUMP 196
2 4 PUMP 214
2 5 PUMP 796
2 6 PUMP 972
2 7 PUMP 443
2 7 PASS 390
3 1 PUMP 398
3 2 PUMP 230
3 3 PUMP 294
3 4 PUMP 278
3 5 PUMP 368
3 6 PUMP 410
3 7 PUMP 536
3 7 PASS 349
4 1 PUMP 409
4 2 PUMP 189
4 3 PUMP 208
4 4 PUMP 258
4 5 PUMP 292
4 6 PUMP 411
4 7 POP 524
5 1 PUMP 1301
5 2 PUMP 241
5 3 PUMP 241
5 4 PUMP 257
5 5 PUMP 356
5 6 PUMP 427
5 7 POP 459
6 1 PUMP 943
6 2 PUMP 294
6 3 PUMP 269
6 4 PUMP 320
6 5 PUMP 447
6 6 PUMP 1121
6 6 PASS 618
7 1 PUMP 402
7 2 PUMP 242
7 3 PUMP 240
7 4 PUMP 296
7 5 PUMP 384
7 6 PUMP 425
7 6 PASS 476
8 1 PUMP 544
8 2 PUMP 301
8 3 PUMP 251
8 4 PUMP 272
8 5 PUMP 317
8 6 PUMP 432
8 6 PASS 402
9 1 PUMP 819
9 2 PUMP 254
9 3 PUMP 228
9 4 PUMP 258
9 5 PUMP 305
9 6 PUMP 488
9 6 PASS 385
TOTAL SCORE 45
